State,Left,Left-Leaning,Center,Right-Leaning,Right
ABC News,6.0,385.0,17.0,6.0,3.0
Bloomberg,3.0,13.0,208.0,,2.0
Business Insider,6.0,146.0,6.0,2.0,3.0
CBS News,5.0,229.0,19.0,2.0,
CNBC,3.0,189.0,7.0,4.0,2.0
CNN,4.0,13.0,362.0,2.0,1.0
Chicago Tribune,11.0,21.0,305.0,2.0,
Fortune,10.0,11.0,15.0,136.0,
Fox News,14.0,17.0,17.0,168.0,3.0
Huffington Post,524.0,41.0,26.0,5.0,6.0
Los Angeles Times,15.0,659.0,40.0,9.0,4.0
NPR,7.0,18.0,388.0,2.0,2.0
New York Daily News,6.0,166.0,11.0,4.0,
New York Post,6.0,16.0,14.0,9.0,223.0
Quartz,9.0,205.0,11.0,3.0,
TIME,277.0,18.0,12.0,3.0,2.0
The Seattle Times,5.0,171.0,13.0,1.0,1.0
USA TODAY,12.0,21.0,371.0,6.0,6.0
Washington Times,8.0,12.0,30.0,373.0,1.0
