date	trump	state	clinton	people	republican	obama	woman	school	hillary	world	sanders	public	company	democratic	issue	change	tax	police	student	democrat	business	university	media	debate	black	family	cruz	community	bush	gop	health	security	college	nation	market	gun	social	young	bank	press	muslim	rubio	dollar	education	justice	immigration	china	worker	financial	international	islamic	industry	trade
20150101	0.001	0.016	0.006	0.012	0.01	0.009	0.008	0.007	0.003	0.007	0.001	0.006	0.006	0.004	0.005	0.006	0.006	0.004	0.005	0.006	0.005	0.005	0.004	0.003	0.004	0.005	0.002	0.006	0.004	0.003	0.005	0.004	0.005	0.004	0.005	0.004	0.004	0.004	0.003	0.003	0.004	0.001	0.003	0.003	0.003	0.002	0.005	0.004	0.004	0.003	0.005	0.003	0.003
20150201	0.002	0.016	0.007	0.013	0.009	0.009	0.008	0.008	0.003	0.007	0.001	0.006	0.006	0.004	0.005	0.005	0.003	0.005	0.006	0.004	0.006	0.006	0.004	0.003	0.008	0.005	0.002	0.005	0.004	0.003	0.005	0.003	0.005	0.004	0.003	0.002	0.004	0.005	0.006	0.003	0.005	0.002	0.003	0.004	0.002	0.002	0.003	0.004	0.003	0.003	0.005	0.003	0.001
20150301	0.003	0.018	0.014	0.012	0.008	0.008	0.008	0.007	0.006	0.007	0.0	0.007	0.006	0.004	0.005	0.005	0.003	0.005	0.006	0.005	0.006	0.006	0.005	0.002	0.005	0.005	0.002	0.004	0.004	0.003	0.004	0.005	0.004	0.004	0.003	0.001	0.004	0.004	0.004	0.004	0.002	0.001	0.003	0.004	0.002	0.001	0.003	0.003	0.003	0.004	0.005	0.003	0.002
20150401	0.001	0.013	0.016	0.011	0.008	0.007	0.011	0.009	0.008	0.006	0.002	0.006	0.006	0.005	0.005	0.006	0.004	0.004	0.005	0.005	0.005	0.005	0.004	0.002	0.007	0.005	0.004	0.005	0.004	0.003	0.004	0.003	0.004	0.004	0.003	0.002	0.003	0.004	0.003	0.003	0.002	0.003	0.003	0.004	0.002	0.002	0.004	0.003	0.003	0.003	0.003	0.003	0.003
20150501	0.001	0.014	0.017	0.011	0.009	0.008	0.007	0.008	0.007	0.008	0.007	0.006	0.006	0.004	0.006	0.006	0.004	0.005	0.007	0.005	0.006	0.007	0.005	0.003	0.005	0.004	0.001	0.005	0.005	0.004	0.004	0.003	0.005	0.004	0.004	0.002	0.004	0.003	0.005	0.003	0.002	0.002	0.004	0.003	0.003	0.005	0.004	0.003	0.003	0.003	0.002	0.003	0.002
20150601	0.009	0.016	0.01	0.012	0.01	0.007	0.007	0.007	0.004	0.007	0.006	0.007	0.007	0.005	0.006	0.006	0.004	0.004	0.008	0.005	0.006	0.005	0.005	0.004	0.006	0.006	0.002	0.004	0.006	0.004	0.004	0.004	0.004	0.004	0.003	0.003	0.004	0.004	0.004	0.003	0.001	0.002	0.004	0.004	0.004	0.002	0.002	0.004	0.004	0.004	0.002	0.004	0.003
20150701	0.021	0.015	0.013	0.012	0.011	0.007	0.007	0.008	0.005	0.006	0.006	0.005	0.006	0.005	0.006	0.006	0.003	0.004	0.006	0.005	0.006	0.004	0.004	0.003	0.004	0.004	0.003	0.004	0.004	0.004	0.005	0.004	0.004	0.004	0.003	0.004	0.004	0.003	0.004	0.003	0.002	0.002	0.003	0.003	0.003	0.005	0.003	0.003	0.004	0.003	0.002	0.003	0.002
20150801	0.026	0.014	0.014	0.012	0.011	0.006	0.006	0.006	0.006	0.006	0.007	0.006	0.007	0.005	0.006	0.005	0.004	0.004	0.005	0.005	0.005	0.004	0.005	0.008	0.007	0.004	0.003	0.004	0.007	0.005	0.005	0.004	0.004	0.003	0.004	0.002	0.003	0.003	0.003	0.003	0.002	0.003	0.003	0.003	0.002	0.006	0.005	0.003	0.004	0.002	0.002	0.003	0.003
20150901	0.024	0.012	0.013	0.013	0.011	0.007	0.008	0.006	0.005	0.006	0.005	0.006	0.006	0.005	0.006	0.006	0.006	0.004	0.004	0.005	0.005	0.006	0.005	0.006	0.004	0.005	0.002	0.003	0.006	0.005	0.004	0.004	0.004	0.004	0.003	0.002	0.004	0.003	0.003	0.003	0.004	0.004	0.003	0.003	0.003	0.004	0.003	0.003	0.002	0.003	0.002	0.002	0.002
20151001	0.012	0.011	0.013	0.01	0.011	0.006	0.007	0.006	0.006	0.006	0.006	0.005	0.005	0.006	0.006	0.005	0.004	0.004	0.005	0.005	0.004	0.004	0.005	0.007	0.004	0.004	0.003	0.004	0.007	0.004	0.004	0.004	0.004	0.003	0.004	0.007	0.004	0.003	0.003	0.003	0.002	0.003	0.003	0.003	0.002	0.003	0.003	0.003	0.002	0.003	0.002	0.003	0.002
20151101	0.011	0.013	0.009	0.012	0.01	0.007	0.006	0.006	0.004	0.006	0.005	0.005	0.005	0.005	0.006	0.005	0.005	0.004	0.005	0.005	0.004	0.004	0.005	0.006	0.004	0.004	0.004	0.004	0.005	0.004	0.004	0.004	0.004	0.003	0.002	0.002	0.004	0.003	0.003	0.003	0.004	0.004	0.002	0.003	0.002	0.003	0.002	0.002	0.002	0.002	0.003	0.002	0.002
20151201	0.017	0.013	0.008	0.011	0.01	0.007	0.005	0.005	0.004	0.006	0.004	0.005	0.005	0.004	0.005	0.005	0.004	0.005	0.004	0.004	0.004	0.004	0.005	0.004	0.004	0.004	0.006	0.004	0.004	0.004	0.004	0.004	0.003	0.004	0.002	0.005	0.003	0.003	0.001	0.002	0.009	0.004	0.002	0.002	0.002	0.003	0.002	0.002	0.002	0.002	0.004	0.002	0.002
20160101	0.02	0.014	0.012	0.01	0.01	0.011	0.006	0.005	0.006	0.005	0.009	0.005	0.004	0.005	0.005	0.005	0.004	0.005	0.003	0.004	0.004	0.003	0.004	0.007	0.003	0.004	0.01	0.003	0.004	0.004	0.004	0.003	0.003	0.003	0.003	0.005	0.002	0.003	0.002	0.004	0.004	0.005	0.002	0.002	0.002	0.003	0.003	0.002	0.002	0.002	0.002	0.002	0.002
20160201	0.024	0.013	0.016	0.01	0.013	0.008	0.006	0.005	0.007	0.004	0.013	0.004	0.004	0.007	0.005	0.004	0.004	0.004	0.004	0.005	0.003	0.004	0.004	0.007	0.004	0.004	0.013	0.003	0.009	0.005	0.004	0.003	0.003	0.003	0.002	0.003	0.003	0.003	0.002	0.003	0.002	0.012	0.002	0.002	0.007	0.003	0.001	0.002	0.002	0.002	0.001	0.002	0.002
20160301	0.029	0.013	0.012	0.01	0.012	0.006	0.005	0.005	0.005	0.005	0.01	0.004	0.005	0.005	0.004	0.004	0.003	0.004	0.004	0.004	0.004	0.004	0.004	0.005	0.003	0.003	0.01	0.003	0.002	0.005	0.002	0.003	0.003	0.003	0.002	0.002	0.003	0.002	0.002	0.003	0.003	0.008	0.002	0.002	0.002	0.002	0.002	0.002	0.002	0.002	0.002	0.002	0.003
20160401	0.024	0.014	0.014	0.01	0.011	0.005	0.006	0.005	0.006	0.004	0.014	0.004	0.005	0.006	0.004	0.005	0.004	0.003	0.004	0.004	0.004	0.004	0.003	0.003	0.003	0.003	0.012	0.003	0.001	0.005	0.002	0.002	0.003	0.002	0.003	0.002	0.002	0.003	0.002	0.003	0.002	0.001	0.002	0.002	0.002	0.001	0.001	0.002	0.002	0.002	0.001	0.002	0.003
20160501	0.028	0.012	0.015	0.01	0.012	0.005	0.006	0.005	0.006	0.005	0.01	0.005	0.004	0.006	0.004	0.005	0.004	0.003	0.004	0.005	0.004	0.004	0.004	0.003	0.003	0.003	0.007	0.003	0.002	0.005	0.002	0.003	0.002	0.003	0.003	0.003	0.003	0.003	0.002	0.003	0.003	0.001	0.002	0.002	0.003	0.002	0.002	0.002	0.002	0.002	0.001	0.002	0.002
20160601	0.027	0.011	0.015	0.011	0.01	0.007	0.005	0.005	0.007	0.005	0.008	0.005	0.004	0.006	0.004	0.004	0.002	0.004	0.003	0.005	0.004	0.004	0.004	0.002	0.003	0.004	0.001	0.004	0.002	0.004	0.002	0.003	0.003	0.003	0.003	0.006	0.003	0.003	0.002	0.003	0.005	0.002	0.002	0.002	0.002	0.003	0.002	0.002	0.002	0.002	0.003	0.001	0.003
20160701	0.01	0.008	0.006	0.008	0.004	0.003	0.005	0.005	0.003	0.004	0.002	0.004	0.004	0.003	0.003	0.003	0.002	0.013	0.003	0.001	0.003	0.003	0.003	0.001	0.004	0.005	0.001	0.004	0.001	0.001	0.003	0.003	0.002	0.002	0.003	0.003	0.002	0.002	0.003	0.002	0.001	0.0	0.002	0.001	0.002	0.0	0.002	0.001	0.001	0.002	0.001	0.001	0.001
20160801	0.031	0.012	0.018	0.01	0.01	0.007	0.005	0.005	0.008	0.004	0.002	0.004	0.004	0.006	0.005	0.004	0.004	0.004	0.003	0.005	0.003	0.003	0.005	0.002	0.004	0.005	0.001	0.004	0.002	0.004	0.003	0.003	0.002	0.003	0.003	0.002	0.002	0.002	0.002	0.003	0.004	0.001	0.002	0.002	0.002	0.003	0.002	0.002	0.002	0.002	0.002	0.002	0.002
20160901	0.029	0.011	0.021	0.01	0.008	0.007	0.005	0.004	0.008	0.005	0.002	0.004	0.004	0.005	0.005	0.005	0.004	0.006	0.003	0.004	0.004	0.004	0.004	0.009	0.004	0.004	0.002	0.003	0.002	0.003	0.004	0.003	0.002	0.003	0.003	0.002	0.002	0.002	0.003	0.003	0.002	0.001	0.002	0.001	0.002	0.003	0.002	0.002	0.002	0.002	0.002	0.002	0.003
20161001	0.042	0.013	0.022	0.012	0.01	0.006	0.007	0.006	0.011	0.008	0.003	0.007	0.005	0.006	0.006	0.005	0.028	0.008	0.006	0.003	0.006	0.007	0.007	0.009	0.003	0.005	0.001	0.006	0.002	0.004	0.003	0.007	0.004	0.003	0.005	0.005	0.003	0.003	0.006	0.004	0.004		0.006	0.005	0.003	0.002	0.002	0.002	0.003	0.002	0.001	0.003	0.005
