date	trump	clinton	sanders	cruz	bush	rubio	carson	kasich
20150101	0.001	0.006	0.001	0.002	0.004	0.001	0.0	0.0
20150201	0.002	0.007	0.001	0.002	0.004	0.002	0.001	0.0
20150301	0.003	0.014	0.0	0.002	0.004	0.001	0.002	0.0
20150401	0.001	0.016	0.002	0.004	0.004	0.003	0.001	0.002
20150501	0.001	0.017	0.007	0.001	0.005	0.002	0.001	0.001
20150601	0.009	0.01	0.006	0.002	0.006	0.002	0.001	0.001
20150701	0.021	0.013	0.006	0.003	0.004	0.002	0.001	0.001
20150801	0.026	0.014	0.007	0.003	0.007	0.003	0.003	0.003
20150901	0.024	0.013	0.005	0.002	0.006	0.004	0.006	0.001
20151001	0.012	0.013	0.006	0.003	0.007	0.003	0.005	0.001
20151101	0.011	0.009	0.005	0.004	0.005	0.004	0.006	0.002
20151201	0.017	0.008	0.004	0.006	0.004	0.004	0.003	0.001
20160101	0.02	0.012	0.009	0.01	0.004	0.005	0.001	0.002
20160201	0.024	0.016	0.013	0.013	0.009	0.012	0.004	0.004
20160301	0.029	0.012	0.01	0.01	0.002	0.008	0.003	0.006
20160401	0.024	0.014	0.014	0.012	0.001	0.001	0.001	0.007
20160501	0.028	0.015	0.01	0.007	0.002	0.001	0.001	0.003
20160601	0.027	0.015	0.008	0.001	0.002	0.002	0.0	0.001
20160701	0.01	0.006	0.002	0.001	0.001	0.0	0.0	0.0
20160801	0.031	0.018	0.002	0.001	0.002	0.001	0.0	0.001
20160901	0.029	0.021	0.002	0.002	0.002	0.001	0.0	0.0
20161001	0.042	0.022	0.003	0.001	0.002			
